isbn,category,title,description,image_path,edition,publisher,publication_year,author,stock,cost
5005888531728,Classics,East of Eden,"The masterpiece of Steinbeck’s later years, East of Eden is a sprawling epic in which Steinbeck created his most mesmerizing characters and explored his most enduring themes: the mystery of identity, the inexplicability of love, and the murderous consequences of love’s absence.",cover_images/110.jpg,1,Penguin Audio,2011,John Steinbeck,24,16.25
8718790644475,Classics,Gone With the Wind,"Winner of the Pulitzer Prize for Literature, Margaret Mitchell's great novel of the South is one of the most popular books ever written. Within six months of its publication in 1936, Gone With the Wind had sold a million copies. To date, it has been translated into 25 languages, and more than 28 million copies have been sold. Here are the characters that have become symbols of passion and desire: darkly handsome Rhett Butler and flirtatious Scarlett O'Hara. Behind them stand their gentler counterparts: Ashley Wilkes and Melanie Hamilton. As the lives and affairs of these absorbing characters play out against the tumult of the Civil War, Gone With the Wind reaches dramatic heights that have swept generations of fans off their feet. Having lived in Atlanta for many years, narrator Linda Stephens has an authentic ear for the dialects of that region. Get ready to hear Gone With the Wind exactly as it was written: every word beautifully captured in a spectacular unabridged audio production.",cover_images/111.jpg,2,Recorded Books,2009,Margaret Mitchell,27,19.99
5969475140895,Classics,Frankenstein,"Kenneth Branagh, director and star of Mary Shelley's Frankenstein, provides one of the most spectacular spoken audio performances ever recorded in this electrifying audio adaptation of Mary Shelley's masterpiece.   One of the greatest horror stories ever written, Frankenstein comes to spellbinding life once again this tour-de-force performance by the acclaimed director and star of Henry V, Dead Again, and Much Ado About Nothing. The definitive recording of one of the most haunting tales of all time, Kenneth Branagh's performance of Frankenstein is a true audio classic.",cover_images/112.jpg,1,Simon & Schuster Audio,1994,Mary Shelley,38,5.47
4687101179696,Classics,The Call of the Wild,"In The Call of the Wild, a boldspirited sheepdog is stolen from his comfortable home and thrust into the rugged, frozen terrain of the Alaskan Klondike. There he is made a sled dog and battles to become his teams leader amid the bitter cold and the savage lawlessness of man and beast.",cover_images/113.jpg,3,Blackstone Audiobooks,2008,Jack London,37,5.97
8378423211560,Classics,The Hobbit,"The original American full dramatization as broadcast on National Public Radio. Bilbo Baggins, a gentle hobbit who loves the comforts of home, reluctantly joins a company of dwarves on a journey to recover plundered gold from a fierce dragon. It's a tale of high adventure and astonishing courage-and a magical prelude to the Lord of the Rings trilogy.",cover_images/114.jpg,1,Highbridge Audio,2009,J. R. R. Tolkien,32,10.48
7440123394648,Action & Adventure,Hot Pursuit,"Stone Barrington is back in the exciting new adventure from perennial fan favorite Stuart Woods.   It’s not often that Stone Barrington finds a woman as accustomed to the jet-set lifestyle as he, so he’s pleasantly surprised when he meets a gorgeous pilot who’s soon moving to New York, and available for closer acquaintance. Their travels together lead them from Wichita to Europe, but trailing them is some unwanted baggage: his new lady love’s unstable, criminal ex-boyfriend. And while Stone is fending off his newest adversary, trouble is brewing on the international stage. Several enemy operatives are at large, and only a coordinated intelligence effort will have any chance of stopping their deadly plot. But the clock is ticking . . . and time has nearly run out.From the Hardcover edition.",cover_images/115.jpg,1,Penguin Audio,2015,Stuart Woods,6,8.75
9826819008131,Action & Adventure,The Assassin,"Detective Isaac Bell tracks a killer across the nation’s oilfields in this adventure in the #1 New York Times–bestselling historical series.    As Van Dorn private detective Isaac Bell strives to land a government contract to investigate John D. Rockefeller’s Standard Oil monopoly, the case takes a deadly turn. A sniper begins murdering opponents of Standard Oil, and soon the assassin—shooting with extraordinary accuracy at seemingly impossible long range—kills Bell’s best witness. Then the shooter detonates a terrible explosion that sets the victim’s independent refinery ablaze. Bell summons his best detectives to hunt down the mysterious killer. But the murders—shootings, poisonings, staged accidents—have just begun as Bell tracks his phantom-like criminal adversary from the “oil fever” regions of Kansas and Texas to Washington, D.C., to the tycoons’ enclave of New York, to Russia’s war-torn Baku oil fields on the Caspian Sea, and back to America for a final, desperate confrontation. And this one will be the most explosive of all.",cover_images/116.jpg,2,Penguin Audio,2015,Clive Cussler,25,10.00
5781120218300,Action & Adventure,Prey,"In the Nevada desert, an experiment has gone horribly wrong. A cloud of nanoparticles -- micro-robots -- has escaped from the laboratory. This cloud is self-sustaining and self-reproducing. It is intelligent and learns from experience. For all practical purposes, it is alive. It has been programmed as a predator. It is evolving swiftly, becoming more deadly with each passing hour. Every attempt to destroy it has failed. And we are the prey. As fresh as today's headlines, Michael Crichton'smost compelling novel yet tells the story of a mechanical plague and the desperate efforts of a handful of scientists to stop it. Drawing on up-to-the-minute scientific fact, Prey takes us into the emerging realms of nanotechnology and artificial distributed intelligence -- in a story of breathtaking suspense. Prey is a novel you can't put down. Because time is running out.",cover_images/117.jpg,2,Harper Audio,2003,Michael Crichton,29,16.49
2724019262422,Action & Adventure,Insatiable Appetites,"Stone Barrington returns in the new action-packed thriller from the #1 New York Times bestselling author. It’s a time of unexpected change for Stone Barrington. A recent venture has achieved a great victory, but he is immediately faced with a new challenge: an underhanded foe who’s determined to wreak havoc at any cost. Meanwhile, when Stone finds himself responsible for distributing the estate of a respected friend and mentor, the process unearths secrets that range from merely surprising to outright alarming. And when a lethal beauty from Stone’s past resurfaces, there’s no telling what chaos will follow in her wake. . . .Ever a master of keeping cool under pressure, even Stone might have his work cut out for him this time . . . because when grand ambitions collide with criminal inclinations, the results may be more deadly than he could have anticipated.",cover_images/118.jpg,3,Penguin Audio,2015,Stuart Woods,39,8.75
1095254611614,Action & Adventure,The 6th Extinction,"A military research station buried in the remote Sierra Nevada Mountains broadcasts a frantic distress call that ends with a chilling order: ""There's been a breach. Failsafe initiated. No matter the outcome: Kill us . . . kill us all.""When help arrives to investigate, they discover that everyone is dead—not just the scientists, but every living thing for fifty square miles is annihilated—and the blight is spreading. Only one team on earth has the scientific knowledge and military precision to handle this mission: Commander Gray Pierce and Sigma. The dead scientists were working on a secret project, researching radically different forms of life on Earth, life that could change our understanding of biology and humanity itself. But something set off an explosion in the lab, and now Sigma must contend with the apocalyptic aftermath.Following a fascinating trail of clues, Sigma will make a shocking discovery involving a prehistoric continent and a new form of life and death buried under miles of ice. Gray Pierce and his dedicated team must race to decipher millennia-old secrets out of the frozen past and untangle mysteries buried deep in the darkest jungles of today, as they face their greatest challenge yet: stopping the Sixth Extinction—the end of humankind.",cover_images/119.jpg,1,Harper Audio,2014,James Rollins,46,14.99
5609283564251,Action & Adventure,Hazardous Duty,"The Presidential Agent adventures return in the most harrowing novel yet in the #1 New York Times bestselling series.Mexican drug cartels are shooting up the streets of Laredo and El Paso. Somali pirates are holding three U.S. tankers for ransom. The President is fed up and has what he thinks is a pretty bright idea—to get hold of Colonel Charley Castillo and his merry band and put them on the case. Unfortunately, that will be difficult. Everybody knows that the President hates Castillo’s guts, has just had him forcibly retired from the military, and now Castillo’s men are scattered far and wide, many of them in hiding. There are also whispers that the President himself is unstable—the word “nutcake” has been mentioned.How will it all play out? No one knows for sure, but for Castillo and company, only one thing is definite: It will be hazardous duty.",cover_images/120.jpg,3,Brilliance Audio,2013,W.E.B. Griffin,2,7.49
4816339541443,Action & Adventure,The Quest,"AUTHOR'S NOTE:An earlier, shorter version of The Quest was published in paperback in 1975.  In 2013, I rewrote The Quest and doubled its length, making it, I hope, a far better story than the original, without deviating from the elements that made the story so powerful and compelling when I first wrote it. In other words, what made The Quest worth rewriting remains, and whatever is changed is for the better.I was happy and excited to have this opportunity to rewrite and republish what I consider my first ""big"" novel, and I hope you enjoy it as much as I did when I first wrote it.BOOK DESCRIPTION:A sweeping adventure that's equal parts thriller and love story, Nelson DeMille's newest novel takes the reader from the war torn jungles of Ethiopia to the magical city of Rome.While the Ethiopian Civil War rages, a Catholic priest languishes in prison. Forty years have passed since he last saw daylight. His crime? Claiming to know the true location of Christ's cup from the Last Supper. Then the miraculous happens - a mortar strikes the prison and he is free! Old, frail, and injured, he escapes to the jungle, where he encounters two Western journalists and a beautiful freelance photographer taking refuge from the carnage. As they tend to his wounds, he relates his incredible story. Motivated by the sensational tale and their desire to find the location of the holiest of relics, the trio agrees to search for the Grail. Thus begins an impossible quest that will pit them against murderous tribes, deadly assassins, fanatical monks, and the passions of their own hearts.THE QUEST is suspenseful, romantic, and filled with heart-pounding action. Nelson DeMille is at the top of his game as he masterfully interprets one of history's greatest mysteries.",cover_images/121.jpg,1,Hachette Audio,2013,Nelson DeMille,44,12.49
3622459889528,Action & Adventure,Suspect,"For twenty-five years, Robert Crais has written extraordinary novels of crime and suspense. He is “a master of crime fiction” (Associated Press); “his novels get better with every new book” (Portland Oregonian); “Crais is hands-down the world’s greatest crime writer” (The Huffington Post).But in Suspect, he may have written his most remarkable novel of all.LAPD cop Scott James is not doing so well, not since a shocking nighttime assault by unidentified men killed his partner Stephanie, nearly killed him, and left him enraged, ashamed, and ready to explode. He is unfit for duty—until he meets his new partner.Maggie is not doing so well, either. The German shepherd survived three tours in Iraq and Afghanistan sniffing explosives before she lost her handler to an IED and sniper attack, and her PTSD is as bad as Scott’s.They are each other’s last chance. He was a young cop on the rise, she was bred to guard and protect. Now they are shunned and shunted to the side. They are suspect. And together they will set out to investigate the one case that no one wants them to touch: the identity of the men who murdered Stephanie.Nine months and sixteen days later, they remained free. They were still out there.What they begin to find is nothing like what Scott has been told, and where it will lead them will take them both through the darkest moments of their own personal hells. Whether they will make it out again, no one can say.Thrilling, emotional, intense, with some of the best characters and well-crafted writing in all of crime fiction, Suspect is further proof that “Crais just keeps getting better” (Publishers Weekly).",cover_images/122.jpg,2,Brilliance Audio,2013,Robert Crais,45,9.99
7759601075690,Action & Adventure,The Last Witness,"The dramatic new novel in the Philadelphia police saga by the #1 New York Times bestselling author.For Philadelphia homicide detective Matt Payne, investigating a young woman’s murder in a Society Hill home invasion uncovers an ugly underworld—that of Mexican drug cartels and the Russian mob.Foreign girls are being smuggled in to work in the sex trade, and now some of them are dying or just disappearing. The trail leads right to Philadelphia — and Payne learns that’s not all. Teenage American girls lured from local foster homes have vanished. And the lone living witness has gone into hiding. He knows it’s got to be connected—but how? And it doesn’t help that his gut says it somehow involves that high-rolling politician last seen near the Caribbean in a casino’s airplane.For Payne, finding that last witness is absolutely critical—before the Russians, the cartels, or anyone else gets to her first.Filled with authentic color and detail, this is a riveting novel of the men and women who put their lives on the line, from the cop on the beat to the commissioner himself. It’s a story of fears and dangers, courage and loyalty, genuine heroism and love—storytelling at its absolute best.",cover_images/123.jpg,1,Brilliance Audio,2013,W.E.B. Griffin,28,7.49
8667348068742,Action & Adventure,Odessa Sea,"Dirk Pitt—“oceanography’s answer to Indiana Jones”*—responds to a Mayday signal from a deserted ship and gets drawn towards a deadly Cold War secret in this thriller in Clive Cussler’s #1 New York Times-bestselling series.  Dirk Pitt, the director of the National Underwater and Marine Agency, is on the Black Sea, helping to locate a lost Ottoman shipwreck, when he responds to an urgent Mayday—“Under attack!”—from a nearby freighter. But when he and his colleague Al Giordino arrive, there is nobody there. Just dead bodies and a smell of sulfur in the air. As Pitt and Giordino explore, a blast from the stern scuttles the ship swiftly, almost taking them with it. The more the two of them search for the secret of the death ship, the deeper they descend into an extraordinary series of discoveries. A desperate attempt in 1917 to preserve the wealth and power of the Romanov Empire. A Cold War bomber lost with a deadly cargo. A brilliant developer of advanced drone technology on an unknown mission. Modern-day nuclear smugglers, determined Ukrainian rebels, a beautiful anti-terrorism agent from Europol—all will combine to present Pitt with the most dangerous challenge of his career.And not only Pitt. His two children, marine engineer Dirk and oceanographer Summer, are exploring a mysterious shipwreck of their own, when they are catapulted into his orbit. The three of them are used to perilous situations—but this time, they may have found their match.",cover_images/124.jpg,3,Penguin Audio,2016,Clive Cussler,17,11.25
1582596702599,Action & Adventure,Celtic Empire,"Clive Cussler, ""The Grand Master of Adventure,"" sends his intrepid heroes Dirk Pitt and Al Giordino on their wildest, boldest mission into the ancient world, unlocking extraordinary secrets and solving hideous crimes. Another fabulous read from the most beloved series from the #1 New York Times-bestselling author.The murders of a team of United Nations scientists in El Salvador. . . A deadly collision in the waterways off the city of Detroit. . . An attack by tomb raiders on an archaeological site along the banks of the Nile. . . Is there a link between these violent events? The answer may lie in the tale of an Egyptian princess forced to flee the armies of her father three thousand years ago.During what was supposed to be a routine investigation in South America, NUMA Director Dirk Pitt finds himself embroiled in an international mystery, one that will lead him across the world and which will threaten everyone and everything he knows--most importantly, his own family. Pitt travels to Scotland in search of answers about the spread of an unknown disease and the shadowy bioremediation company that may be behind it. Meanwhile, his son and daughter face a threat of their own when the discoveries they have made in an Egyptian tomb put killers on their trail. These seemingly unrelated riddles come together in a stunning showdown on the rocky isles of Ireland, where only the Pitts can unravel the secrets of an ancient enigma that could change the very future of mankind.",cover_images/125.jpg,3,Penguin Audio,2019,Clive Cussler,24,11.25
2344666706193,Action & Adventure,Shadow Tyrants Clive Cussler,"Only Juan Cabrillo and the crew of the Oregon stand between two warring moguls and global havoc in this thrilling suspense novel in Clive Cussler's #1 New York Times bestselling series.Nearly two thousand years ago, an Eastern emperor charged a small group with safeguarding secrets powerful enough to change the history of mankind. They went down in legend as the Nine Unknown Men--and now two rival factions of their descendants are fighting a mighty battle. Both sides think they are saving the world, but their tactics could very well bring about the end of humankind. Soon, Juan Cabrillo and his team of expert operatives aboard the Oregon find themselves trapped between two power-hungry adversaries, both of whom are willing to use shocking means to accomplish their goals.   Cabrillo and the team must divide and conquer as they fight dual threats, which include a supercomputer at sea and satellites that can wipe out technology across the globe--including the high-tech weapons on board the Oregon. The crew must rely on their unique skills to stop the tyrants in their tracks and save the earth from a dynasty of terror.",cover_images/126.jpg,3,Penguin Audio,2018,Clive Cussler,14,11.25
9062171192258,Action & Adventure,Nighthawk,"THE NEW YORK TIMES BESTSELLERNUMA crew leaders Kurt Austin and Joe Zavala must beat the clock to stop the world’s most dazzling new technological advance from becoming mankind’s last in this action-packed thriller from the #1 New York Times–bestselling grand master of adventure.When the most advanced aircraft ever designed vanishes over the South Pacific, Kurt Austin and Joe Zavala are drawn into a deadly contest to locate the fallen machine. Russia and China covet the radical technology, but the United States worries about a darker problem. They know what others don’t—that the X-37 is carrying a dangerous secret, a payload of exotic matter, extracted from the upper reaches of the atmosphere and stored at a temperature near absolute zero. As long as it remains frozen, the cargo is inert, but if it thaws, it will unleash a catastrophe of nearly unthinkable proportions.From the Galapagos Islands to the jungles of South America to an icy mountain lake many believe to be the birthplace of the Inca, the entire NUMA team will risk everything in an effort to avert disaster...but they may be caught in a race that no one can win.",cover_images/127.jpg,3,Penguin Audio,2017,Clive Cussler,14,11.25
2296027066576,Action & Adventure,Typhoon Fury,"THE NEW YORK TIMES BESTSELLERJuan Cabrillo and the crew of the Oregon sail into a perfect storm of danger when they try to stop a new world war in this thrilling novel from the #1 New York Times-bestselling grand master of adventure.Hired to search for a collection of paintings worth half a billion dollars, Juan Cabrillo and the crew of the Oregon soon find themselves in much deeper waters. The vicious leader of a Filipino insurgency is not only using them to finance his attacks, he has stumbled upon one of the most lethal secrets of World War II: a Japanese-developed drug, designed, but never used, to turn soldiers into super-warriors. To stop him, the Oregon must not only take on the rebel commander, but a South African mercenary intent on getting his own hands on the drug, a massive swarm of torpedo drones targeting the U.S. Navy, an approaching megastorm, and, just possibly, a war that could envelop the entire Asian continent.“Cussler and Morrison take readers to the edge, at a pace so fast, you may find yourself needing oxygen.”—Suspense Magazine",cover_images/128.jpg,3,Penguin Audio,2017,Clive Cussler,38,11.25
4875391851173,Action & Adventure,The Emperor's Revenge,"The Oregon crew must work without their usual resources when a rogue hacker empties their bank account in this action-packed installment from the #1 New York Times–bestselling grand master of adventure.   When a bank heist during the Monaco Grand Priz decimates the Corporation’s “offshore” account, Juan Cabrillo and the crew of the Oregon find themselves unexpectedly vulnerable. Without his usual financial assets, Juan must trust a woman from his past, an old friend from his days with the CIA, to help him keep his team safe. Together, they’ll face a mysterious hacker with a brutal vendetta. It is only after the hunt begins that the enormity of the plan comes into focus: the bank theft is just the first step in a plot that will result in the deaths of millions and bring the world’s economies to a standstill. The catalyst for the scheme? A stunning document stolen during Napoleon’s disastrous invasion of Russia. But two hundred years later, it may be the thing that brings Europe to its knees.From the Hardcover edition.",cover_images/129.jpg,3,Penguin Audio,2016,Clive Cussler,12,11.25
2068784809102,Horror,Revival,"A dark and electrifying novel about addiction, fanaticism, and what might exist on the other side of life.In a small New England town, over half a century ago, a shadow falls over a small boy playing with his toy soldiers. Jamie Morton looks up to see a striking man, the new minister. Charles Jacobs, along with his beautiful wife, will transform the local church. The men and boys are all a bit in love with Mrs. Jacobs; the women and girls feel the same about Reverend Jacobs—including Jamie’s mother and beloved sister, Claire. With Jamie, the Reverend shares a deeper bond based on a secret obsession. When tragedy strikes the Jacobs family, this charismatic preacher curses God, mocks all religious belief, and is banished from the shocked town. Jamie has demons of his own. Wed to his guitar from the age of thirteen, he plays in bands across the country, living the nomadic lifestyle of bar-band rock and roll while fleeing from his family’s horrific loss. In his mid-thirties—addicted to heroin, stranded, desperate—Jamie meets Charles Jacobs again, with profound consequences for both men. Their bond becomes a pact beyond even the Devil’s devising, and Jamie discovers that revival has many meanings. This rich and disturbing novel spans five decades on its way to the most terrifying conclusion Stephen King has ever written. It’s a masterpiece from King, in the great American tradition of Frank Norris, Nathaniel Hawthorne, and Edgar Allan Poe.",cover_images/130.jpg,3,Simon & Schuster Audio,2014,Stephen King,23,12.99
6660851113899,Horror,Deeply Odd,"The pistol appeared in his hand the way a dove appears in the hand of a good magician, as if it materialized out of thin air. “You think I won’t do it right here in the open. But you’d be surprised.… You’ll drop before you get the breath to scream.”The truck driver is decked out like a rhinestone cowboy, only instead of a guitar he’s slinging a gun—and Odd Thomas is on the wrong end of the barrel. Though he narrowly dodges a bullet, Odd can’t outrun the shocking vision burned into his mind…or the destiny that will drive him into a harrowing showdown with absolute evil.How do you make sure a crime that hasn’t happened yet, never does? That’s the critical question facing Odd Thomas, the young man with a unique ability to commune with restless spirits and help them find justice and peace. But this time, it’s the living who desperately need Odd on their side. Three helpless innocents will be brutally executed unless Odd can intervene in time. Who the potential victims are and where they can be found remain a mystery. The only thing Odd knows for sure is who the killer will be: the homicidal stranger who tried to shoot him dead in a small-town parking lot.With the ghost of Alfred Hitchcock riding shotgun and a network of unlikely allies providing help along the way, Odd embarks on an interstate game of cat and mouse with his sinister quarry. He will soon learn that his adversary possesses abilities that may surpass his own and operates in service to infinitely more formidable foes, with murder a mere prelude to much deeper designs. Traveling across a landscape haunted by portents of impending catastrophe, Odd will do what he must and go where his path leads him, drawing ever closer to the dark heart of his long journey…and, perhaps, to the bright light beyond.“Koontz gives his character wit, good humor, a familiarity with the dark side of humanity—and moral outrage.” —USA Today",cover_images/131.jpg,2,Brilliance Audio,2013,Dean Koontz,12,7.49
4751503129594,Horror,The Throat,"THE THROAT. Tim Underhill, now an acclaimed novelist, travels back to his home - town of Millhaven, Illinois after he gets a call from John Ransom, an old army buddy. Ransom believes there’s a copycat killer on the loose, mimicking the Blue Rose murders from decades earlier — he thinks his wife could be a potential victim. Underhill seeks out his friend Tom Pasmore, an aging hermit who has attained minor celebrity as an expert sleuth, to help him investigate.  They quickly discover that Millhaven is a town plagued by horrifying secrets and there is a twisted killer on the loose who is far more dangerous than they ever imagined. Expertly tying together the events of Koko and Mystery, The Throat proves Peter Straub to be the master of the suspense novel.

“Terrifying psychological horror. . . . Rich in detail and character.” 
—The Plain Dealer
 
“Disturbing. . . . Satisfying entertainment. . . . A bloodstained tapestry of stunning emotional power.” —San Francisco Chronicle

“A classic mystery novel. . . . Deft, impressive.” —The New York Times Book Review",cover_images/132.jpg,1,Brilliance Audio,2011,Peter Straub,21,7.49
4534294085352,Horror,The Shining,"Jack Torrance’s new job at the Overlook Hotel is the perfect chance for a fresh start. As the off-season caretaker at the atmospheric old hotel, he’ll have plenty of time to spend reconnecting with his family and working on his writing. But as the harsh winter weather sets in, the idyllic location feels ever more remote . . . and more sinister. And the only one to notice the strange and terrible forces gathering around the Overlook is Danny Torrance, a uniquely gifted five-year-old.",cover_images/133.jpg,1,Random House Audio,2012,Stephen King,25,12.50
